genes	uniprot
B9J09_RS03920	B9J09_RS03920
B9J09_RS03925	B9J09_RS03925
B9J09_RS03940	B9J09_RS03940
B9J09_RS03945	B9J09_RS03945
B9J09_RS03955	B9J09_RS03955
B9J09_RS03960	B9J09_RS03960
B9J09_RS03970	B9J09_RS03970
B9J09_RS03980	B9J09_RS03980
B9J09_RS03985	B9J09_RS03985
B9J09_RS03990	B9J09_RS03990
B9J09_RS03995	B9J09_RS03995
B9J09_RS12590	B9J09_RS12590
B9J09_RS12125	B9J09_RS12125
B9J09_RS04010	B9J09_RS04010
B9J09_RS04015	B9J09_RS04015
B9J09_RS04020	B9J09_RS04020
B9J09_RS04025	B9J09_RS04025
B9J09_RS04030	B9J09_RS04030
B9J09_RS04035	B9J09_RS04035
B9J09_RS04040	B9J09_RS04040
B9J09_RS04050	B9J09_RS04050
B9J09_RS04055	B9J09_RS04055
B9J09_RS04060	B9J09_RS04060
B9J09_RS04065	B9J09_RS04065
B9J09_RS04070	B9J09_RS04070
B9J09_RS04075	B9J09_RS04075
B9J09_RS04080	B9J09_RS04080
B9J09_RS04085	B9J09_RS04085
B9J09_RS04090	B9J09_RS04090
B9J09_RS04095	B9J09_RS04095
B9J09_RS04100	B9J09_RS04100
B9J09_RS04110	B9J09_RS04110
B9J09_RS04115	B9J09_RS04115
B9J09_RS04120	B9J09_RS04120
B9J09_RS04130	B9J09_RS04130
B9J09_RS04135	B9J09_RS04135
B9J09_RS04140	B9J09_RS04140
B9J09_RS04145	B9J09_RS04145
B9J09_RS04150	B9J09_RS04150
B9J09_RS04155	B9J09_RS04155
B9J09_RS04160	B9J09_RS04160
B9J09_RS04165	B9J09_RS04165
B9J09_RS04170	B9J09_RS04170
B9J09_RS04175	B9J09_RS04175
B9J09_RS04180	B9J09_RS04180
B9J09_RS04190	B9J09_RS04190
B9J09_RS04195	B9J09_RS04195
B9J09_RS04200	B9J09_RS04200
B9J09_RS04205	B9J09_RS04205
B9J09_RS04215	B9J09_RS04215
B9J09_RS13310	B9J09_RS13310
B9J09_RS04230	B9J09_RS04230
B9J09_RS12595	B9J09_RS12595
B9J09_RS04245	B9J09_RS04245
B9J09_RS04250	B9J09_RS04250
B9J09_RS04255	B9J09_RS04255
B9J09_RS04260	B9J09_RS04260
B9J09_RS04265	B9J09_RS04265
B9J09_RS04270	B9J09_RS04270
B9J09_RS12935	B9J09_RS12935
B9J09_RS04280	B9J09_RS04280
B9J09_RS04285	B9J09_RS04285
B9J09_RS13405	B9J09_RS13405
B9J09_RS04290	B9J09_RS04290
B9J09_RS04295	B9J09_RS04295
B9J09_RS04300	B9J09_RS04300
B9J09_RS04305	B9J09_RS04305
B9J09_RS04310	B9J09_RS04310
B9J09_RS04320	B9J09_RS04320
B9J09_RS04325	B9J09_RS04325
B9J09_RS04330	B9J09_RS04330
B9J09_RS04335	B9J09_RS04335
B9J09_RS12355	B9J09_RS12355
B9J09_RS04360	B9J09_RS04360
B9J09_RS04365	B9J09_RS04365
B9J09_RS04370	B9J09_RS04370
B9J09_RS04380	B9J09_RS04380
B9J09_RS04385	B9J09_RS04385
B9J09_RS04390	B9J09_RS04390
B9J09_RS13410	B9J09_RS13410
B9J09_RS04405	B9J09_RS04405
B9J09_RS04410	B9J09_RS04410
B9J09_RS04415	B9J09_RS04415
B9J09_RS04420	B9J09_RS04420
B9J09_RS04430	B9J09_RS04430
B9J09_RS04435	B9J09_RS04435
B9J09_RS04440	B9J09_RS04440
B9J09_RS04445	B9J09_RS04445
B9J09_RS04455	B9J09_RS04455
B9J09_RS04460	B9J09_RS04460
B9J09_RS04465	B9J09_RS04465
B9J09_RS04470	B9J09_RS04470
B9J09_RS04475	B9J09_RS04475
B9J09_RS04480	B9J09_RS04480
B9J09_RS04485	B9J09_RS04485
B9J09_RS04490	B9J09_RS04490
B9J09_RS04500	B9J09_RS04500
B9J09_RS04510	B9J09_RS04510
B9J09_RS04515	B9J09_RS04515
B9J09_RS04525	B9J09_RS04525
B9J09_RS04530	B9J09_RS04530
B9J09_RS12945	B9J09_RS12945
B9J09_RS12950	B9J09_RS12950
B9J09_RS04545	B9J09_RS04545
B9J09_RS04550	B9J09_RS04550
B9J09_RS04555	B9J09_RS04555
B9J09_RS04560	B9J09_RS04560
B9J09_RS04565	B9J09_RS04565
B9J09_RS04580	B9J09_RS04580
B9J09_RS04585	B9J09_RS04585
B9J09_RS04590	B9J09_RS04590
B9J09_RS12955	B9J09_RS12955
B9J09_RS12960	B9J09_RS12960
B9J09_RS13315	B9J09_RS13315
B9J09_RS04605	B9J09_RS04605
B9J09_RS04610	B9J09_RS04610
B9J09_RS04615	B9J09_RS04615
B9J09_RS04620	B9J09_RS04620
B9J09_RS04625	B9J09_RS04625
B9J09_RS04635	B9J09_RS04635
B9J09_RS04640	B9J09_RS04640
B9J09_RS04645	B9J09_RS04645
B9J09_RS04650	B9J09_RS04650
B9J09_RS04655	B9J09_RS04655
B9J09_RS04660	B9J09_RS04660
B9J09_RS04665	B9J09_RS04665
B9J09_RS13320	B9J09_RS13320
B9J09_RS12135	B9J09_RS12135
B9J09_RS12365	B9J09_RS12365
B9J09_RS04675	B9J09_RS04675
B9J09_RS04680	B9J09_RS04680
B9J09_RS04685	B9J09_RS04685
B9J09_RS04690	B9J09_RS04690
B9J09_RS04695	B9J09_RS04695
B9J09_RS04700	B9J09_RS04700
B9J09_RS04705	B9J09_RS04705
B9J09_RS04710	B9J09_RS04710
B9J09_RS04720	B9J09_RS04720
B9J09_RS04725	B9J09_RS04725
B9J09_RS04730	B9J09_RS04730
B9J09_RS04735	B9J09_RS04735
B9J09_RS04740	B9J09_RS04740
B9J09_RS12965	B9J09_RS12965
B9J09_RS04745	B9J09_RS04745
B9J09_RS04750	B9J09_RS04750
B9J09_RS04755	B9J09_RS04755
B9J09_RS04760	B9J09_RS04760
B9J09_RS04765	B9J09_RS04765
B9J09_RS04770	B9J09_RS04770
B9J09_RS04775	B9J09_RS04775
B9J09_RS04780	B9J09_RS04780
B9J09_RS04785	B9J09_RS04785
B9J09_RS12970	B9J09_RS12970
B9J09_RS04795	B9J09_RS04795
B9J09_RS04800	B9J09_RS04800
B9J09_RS12975	B9J09_RS12975
B9J09_RS04815	B9J09_RS04815
B9J09_RS04820	B9J09_RS04820
B9J09_RS04825	B9J09_RS04825
B9J09_RS04830	B9J09_RS04830
B9J09_RS04835	B9J09_RS04835
B9J09_RS04840	B9J09_RS04840
B9J09_RS04845	B9J09_RS04845
B9J09_RS04850	B9J09_RS04850
B9J09_RS04865	B9J09_RS04865
B9J09_RS04870	B9J09_RS04870
B9J09_RS04875	B9J09_RS04875
B9J09_RS04880	B9J09_RS04880
B9J09_RS04885	B9J09_RS04885
B9J09_RS04890	B9J09_RS04890
B9J09_RS04895	B9J09_RS04895
B9J09_RS04900	B9J09_RS04900
B9J09_RS04905	B9J09_RS04905
B9J09_RS04910	B9J09_RS04910
B9J09_RS04915	B9J09_RS04915
B9J09_RS04920	B9J09_RS04920
B9J09_RS04925	B9J09_RS04925
B9J09_RS13420	B9J09_RS13420
B9J09_RS04935	B9J09_RS04935
B9J09_RS04940	B9J09_RS04940
B9J09_RS04945	B9J09_RS04945
B9J09_RS04950	B9J09_RS04950
B9J09_RS04955	B9J09_RS04955
B9J09_RS04960	B9J09_RS04960
B9J09_RS04970	B9J09_RS04970
B9J09_RS04975	B9J09_RS04975
B9J09_RS04980	B9J09_RS04980
B9J09_RS04985	B9J09_RS04985
B9J09_RS04990	B9J09_RS04990
B9J09_RS04995	B9J09_RS04995
B9J09_RS05000	B9J09_RS05000
B9J09_RS12370	B9J09_RS12370
B9J09_RS12610	B9J09_RS12610
B9J09_RS13325	B9J09_RS13325
B9J09_RS12620	B9J09_RS12620
B9J09_RS05035	B9J09_RS05035
B9J09_RS12625	B9J09_RS12625
B9J09_RS05055	B9J09_RS05055
B9J09_RS05060	B9J09_RS05060
B9J09_RS05065	B9J09_RS05065
B9J09_RS05075	B9J09_RS05075
B9J09_RS05080	B9J09_RS05080
B9J09_RS05085	B9J09_RS05085
B9J09_RS05090	B9J09_RS05090
B9J09_RS05095	B9J09_RS05095
B9J09_RS12630	B9J09_RS12630
B9J09_RS05100	B9J09_RS05100
B9J09_RS05105	B9J09_RS05105
B9J09_RS05110	B9J09_RS05110
B9J09_RS05115	B9J09_RS05115
B9J09_RS05120	B9J09_RS05120
B9J09_RS05125	B9J09_RS05125
B9J09_RS05130	B9J09_RS05130
B9J09_RS05135	B9J09_RS05135
B9J09_RS05140	B9J09_RS05140
B9J09_RS05145	B9J09_RS05145
B9J09_RS05150	B9J09_RS05150
B9J09_RS05155	B9J09_RS05155
B9J09_RS05160	B9J09_RS05160
B9J09_RS05165	B9J09_RS05165
B9J09_RS05170	B9J09_RS05170
B9J09_RS05175	B9J09_RS05175
B9J09_RS05180	B9J09_RS05180
B9J09_RS05185	B9J09_RS05185
B9J09_RS05190	B9J09_RS05190
B9J09_RS05195	B9J09_RS05195
B9J09_RS05200	B9J09_RS05200
B9J09_RS05205	B9J09_RS05205
B9J09_RS05210	B9J09_RS05210
B9J09_RS05215	B9J09_RS05215
B9J09_RS05220	B9J09_RS05220
B9J09_RS05225	B9J09_RS05225
B9J09_RS05235	B9J09_RS05235
B9J09_RS05240	B9J09_RS05240
B9J09_RS05245	B9J09_RS05245
B9J09_RS05250	B9J09_RS05250
B9J09_RS05260	B9J09_RS05260
B9J09_RS05265	B9J09_RS05265
B9J09_RS05270	B9J09_RS05270
B9J09_RS05285	B9J09_RS05285
B9J09_RS05290	B9J09_RS05290
B9J09_RS05295	B9J09_RS05295
B9J09_RS05300	B9J09_RS05300
B9J09_RS05305	B9J09_RS05305
B9J09_RS05310	B9J09_RS05310
B9J09_RS05315	B9J09_RS05315
B9J09_RS05320	B9J09_RS05320
B9J09_RS05325	B9J09_RS05325
B9J09_RS05330	B9J09_RS05330
B9J09_RS05335	B9J09_RS05335
B9J09_RS05340	B9J09_RS05340
B9J09_RS05345	B9J09_RS05345
B9J09_RS05350	B9J09_RS05350
B9J09_RS05365	B9J09_RS05365
B9J09_RS05370	B9J09_RS05370
B9J09_RS05375	B9J09_RS05375
B9J09_RS05380	B9J09_RS05380
B9J09_RS05385	B9J09_RS05385
B9J09_RS05390	B9J09_RS05390
B9J09_RS05395	B9J09_RS05395
B9J09_RS05400	B9J09_RS05400
B9J09_RS05405	B9J09_RS05405
B9J09_RS05410	B9J09_RS05410
B9J09_RS05415	B9J09_RS05415
B9J09_RS05420	B9J09_RS05420
B9J09_RS05425	B9J09_RS05425
B9J09_RS05440	B9J09_RS05440
B9J09_RS05445	B9J09_RS05445
B9J09_RS05450	B9J09_RS05450
B9J09_RS05455	B9J09_RS05455
B9J09_RS05460	B9J09_RS05460
B9J09_RS05465	B9J09_RS05465
B9J09_RS05470	B9J09_RS05470
B9J09_RS05475	B9J09_RS05475
B9J09_RS05480	B9J09_RS05480
B9J09_RS05485	B9J09_RS05485
B9J09_RS05490	B9J09_RS05490
B9J09_RS05495	B9J09_RS05495
B9J09_RS05500	B9J09_RS05500
B9J09_RS05515	B9J09_RS05515
B9J09_RS05520	B9J09_RS05520
B9J09_RS05525	B9J09_RS05525
B9J09_RS05530	B9J09_RS05530
B9J09_RS05535	B9J09_RS05535
B9J09_RS05540	B9J09_RS05540
B9J09_RS05545	B9J09_RS05545
B9J09_RS05550	B9J09_RS05550
B9J09_RS05555	B9J09_RS05555
B9J09_RS05560	B9J09_RS05560
B9J09_RS05565	B9J09_RS05565
B9J09_RS13425	B9J09_RS13425
B9J09_RS13430	B9J09_RS13430
B9J09_RS05575	B9J09_RS05575
B9J09_RS05580	B9J09_RS05580
B9J09_RS05590	B9J09_RS05590
B9J09_RS05595	B9J09_RS05595
B9J09_RS05605	B9J09_RS05605
B9J09_RS05615	B9J09_RS05615
B9J09_RS05620	B9J09_RS05620
B9J09_RS05625	B9J09_RS05625
B9J09_RS05630	B9J09_RS05630
B9J09_RS05635	B9J09_RS05635
B9J09_RS05640	B9J09_RS05640
B9J09_RS12990	B9J09_RS12990
B9J09_RS05645	B9J09_RS05645
B9J09_RS05650	B9J09_RS05650
B9J09_RS05665	B9J09_RS05665
B9J09_RS05670	B9J09_RS05670
B9J09_RS05675	B9J09_RS05675
B9J09_RS05680	B9J09_RS05680
B9J09_RS12380	B9J09_RS12380
B9J09_RS05695	B9J09_RS05695
B9J09_RS13000	B9J09_RS13000
B9J09_RS05710	B9J09_RS05710
B9J09_RS05715	B9J09_RS05715
B9J09_RS05720	B9J09_RS05720
B9J09_RS05725	B9J09_RS05725
B9J09_RS05730	B9J09_RS05730
B9J09_RS05735	B9J09_RS05735
B9J09_RS05740	B9J09_RS05740
B9J09_RS05745	B9J09_RS05745
B9J09_RS05750	B9J09_RS05750
B9J09_RS05755	B9J09_RS05755
B9J09_RS05760	B9J09_RS05760
B9J09_RS05765	B9J09_RS05765
B9J09_RS05770	B9J09_RS05770
B9J09_RS05775	B9J09_RS05775
B9J09_RS05780	B9J09_RS05780
B9J09_RS05785	B9J09_RS05785
B9J09_RS05790	B9J09_RS05790
B9J09_RS05795	B9J09_RS05795
B9J09_RS05800	B9J09_RS05800
B9J09_RS05805	B9J09_RS05805
B9J09_RS05810	B9J09_RS05810
B9J09_RS05815	B9J09_RS05815
B9J09_RS05825	B9J09_RS05825
B9J09_RS05830	B9J09_RS05830
B9J09_RS05835	B9J09_RS05835
B9J09_RS05840	B9J09_RS05840
B9J09_RS05845	B9J09_RS05845
B9J09_RS05850	B9J09_RS05850
B9J09_RS05855	B9J09_RS05855
B9J09_RS05860	B9J09_RS05860
B9J09_RS12390	B9J09_RS12390
B9J09_RS05870	B9J09_RS05870
B9J09_RS05875	B9J09_RS05875
B9J09_RS05880	B9J09_RS05880
B9J09_RS05885	B9J09_RS05885
B9J09_RS05890	B9J09_RS05890
B9J09_RS05895	B9J09_RS05895
B9J09_RS05900	B9J09_RS05900
B9J09_RS05905	B9J09_RS05905
B9J09_RS05910	B9J09_RS05910
B9J09_RS05915	B9J09_RS05915
B9J09_RS05920	B9J09_RS05920
B9J09_RS05925	B9J09_RS05925
B9J09_RS05930	B9J09_RS05930
B9J09_RS05935	B9J09_RS05935
B9J09_RS05940	B9J09_RS05940
B9J09_RS05945	B9J09_RS05945
B9J09_RS05950	B9J09_RS05950
B9J09_RS05955	B9J09_RS05955
B9J09_RS05965	B9J09_RS05965
B9J09_RS05970	B9J09_RS05970
B9J09_RS05975	B9J09_RS05975
B9J09_RS05980	B9J09_RS05980
B9J09_RS05985	B9J09_RS05985
B9J09_RS12395	B9J09_RS12395
B9J09_RS05990	B9J09_RS05990
B9J09_RS05995	B9J09_RS05995
B9J09_RS06000	B9J09_RS06000
B9J09_RS06005	B9J09_RS06005
B9J09_RS06010	B9J09_RS06010
B9J09_RS06015	B9J09_RS06015
B9J09_RS06020	B9J09_RS06020
B9J09_RS06025	B9J09_RS06025
B9J09_RS06030	B9J09_RS06030
B9J09_RS06035	B9J09_RS06035
B9J09_RS06040	B9J09_RS06040
B9J09_RS06045	B9J09_RS06045
B9J09_RS06050	B9J09_RS06050
B9J09_RS06055	B9J09_RS06055
B9J09_RS06060	B9J09_RS06060
B9J09_RS06065	B9J09_RS06065
B9J09_RS06070	B9J09_RS06070
B9J09_RS06075	B9J09_RS06075
B9J09_RS06080	B9J09_RS06080
B9J09_RS06085	B9J09_RS06085
B9J09_RS06090	B9J09_RS06090
B9J09_RS06095	B9J09_RS06095
B9J09_RS06100	B9J09_RS06100
B9J09_RS06105	B9J09_RS06105
B9J09_RS06110	B9J09_RS06110
B9J09_RS06115	B9J09_RS06115
B9J09_RS06120	B9J09_RS06120
B9J09_RS06125	B9J09_RS06125
B9J09_RS06130	B9J09_RS06130
B9J09_RS06135	B9J09_RS06135
B9J09_RS06140	B9J09_RS06140
B9J09_RS13005	B9J09_RS13005
B9J09_RS13010	B9J09_RS13010
B9J09_RS06155	B9J09_RS06155
B9J09_RS06160	B9J09_RS06160
B9J09_RS06165	B9J09_RS06165
B9J09_RS06170	B9J09_RS06170
B9J09_RS06175	B9J09_RS06175
B9J09_RS06180	B9J09_RS06180
B9J09_RS06185	B9J09_RS06185
B9J09_RS06190	B9J09_RS06190
B9J09_RS06195	B9J09_RS06195
B9J09_RS06200	B9J09_RS06200
B9J09_RS06205	B9J09_RS06205
B9J09_RS06210	B9J09_RS06210
B9J09_RS06220	B9J09_RS06220
B9J09_RS06225	B9J09_RS06225
B9J09_RS06230	B9J09_RS06230
B9J09_RS06240	B9J09_RS06240
B9J09_RS06245	B9J09_RS06245
B9J09_RS06250	B9J09_RS06250
B9J09_RS06255	B9J09_RS06255
B9J09_RS06260	B9J09_RS06260
B9J09_RS06270	B9J09_RS06270
B9J09_RS06275	B9J09_RS06275
B9J09_RS06280	B9J09_RS06280
B9J09_RS06285	B9J09_RS06285
B9J09_RS06290	B9J09_RS06290
B9J09_RS06295	B9J09_RS06295
B9J09_RS06300	B9J09_RS06300
B9J09_RS06305	B9J09_RS06305
B9J09_RS06310	B9J09_RS06310
B9J09_RS06315	B9J09_RS06315
B9J09_RS06320	B9J09_RS06320
B9J09_RS06325	B9J09_RS06325
B9J09_RS06330	B9J09_RS06330
B9J09_RS06335	B9J09_RS06335
B9J09_RS06340	B9J09_RS06340
B9J09_RS06345	B9J09_RS06345
B9J09_RS06350	B9J09_RS06350
B9J09_RS12635	B9J09_RS12635
B9J09_RS06355	B9J09_RS06355
B9J09_RS06360	B9J09_RS06360
B9J09_RS06365	B9J09_RS06365
B9J09_RS06370	B9J09_RS06370
B9J09_RS06375	B9J09_RS06375
B9J09_RS06380	B9J09_RS06380
B9J09_RS06385	B9J09_RS06385
B9J09_RS06390	B9J09_RS06390
B9J09_RS06395	B9J09_RS06395
B9J09_RS06400	B9J09_RS06400
B9J09_RS06405	B9J09_RS06405
B9J09_RS06410	B9J09_RS06410
B9J09_RS06415	B9J09_RS06415
B9J09_RS06420	B9J09_RS06420
B9J09_RS06425	B9J09_RS06425
B9J09_RS06430	B9J09_RS06430
B9J09_RS06435	B9J09_RS06435
B9J09_RS06440	B9J09_RS06440
B9J09_RS06445	B9J09_RS06445
B9J09_RS06450	B9J09_RS06450
B9J09_RS06455	B9J09_RS06455
B9J09_RS06460	B9J09_RS06460
B9J09_RS06465	B9J09_RS06465
B9J09_RS06470	B9J09_RS06470
B9J09_RS06475	B9J09_RS06475
B9J09_RS06480	B9J09_RS06480
B9J09_RS06485	B9J09_RS06485
B9J09_RS06490	B9J09_RS06490
B9J09_RS06495	B9J09_RS06495
B9J09_RS06500	B9J09_RS06500
B9J09_RS06505	B9J09_RS06505
B9J09_RS06510	B9J09_RS06510
B9J09_RS06520	B9J09_RS06520
B9J09_RS06525	B9J09_RS06525
B9J09_RS06530	B9J09_RS06530
B9J09_RS13330	B9J09_RS13330
B9J09_RS12405	B9J09_RS12405
B9J09_RS12170	B9J09_RS12170
B9J09_RS06545	B9J09_RS06545
B9J09_RS06550	B9J09_RS06550
B9J09_RS06555	B9J09_RS06555
B9J09_RS06560	B9J09_RS06560
B9J09_RS13015	B9J09_RS13015
B9J09_RS06570	B9J09_RS06570
B9J09_RS06575	B9J09_RS06575
B9J09_RS06580	B9J09_RS06580
B9J09_RS06585	B9J09_RS06585
B9J09_RS06590	B9J09_RS06590
B9J09_RS06595	B9J09_RS06595
B9J09_RS06600	B9J09_RS06600
B9J09_RS06605	B9J09_RS06605
B9J09_RS06610	B9J09_RS06610
B9J09_RS06615	B9J09_RS06615
B9J09_RS06620	B9J09_RS06620
B9J09_RS06625	B9J09_RS06625
B9J09_RS06630	B9J09_RS06630
B9J09_RS06635	B9J09_RS06635
B9J09_RS06640	B9J09_RS06640
B9J09_RS06645	B9J09_RS06645
B9J09_RS06650	B9J09_RS06650
B9J09_RS06660	B9J09_RS06660
B9J09_RS06665	B9J09_RS06665
B9J09_RS06670	B9J09_RS06670
B9J09_RS06680	B9J09_RS06680
B9J09_RS06685	B9J09_RS06685
B9J09_RS06690	B9J09_RS06690
B9J09_RS06695	B9J09_RS06695
B9J09_RS06700	B9J09_RS06700
B9J09_RS06710	B9J09_RS06710
B9J09_RS06715	B9J09_RS06715
B9J09_RS06720	B9J09_RS06720
B9J09_RS06725	B9J09_RS06725
B9J09_RS06730	B9J09_RS06730
B9J09_RS06735	B9J09_RS06735
B9J09_RS06740	B9J09_RS06740
B9J09_RS06745	B9J09_RS06745
B9J09_RS06750	B9J09_RS06750
B9J09_RS13335	B9J09_RS13335
B9J09_RS06765	B9J09_RS06765
B9J09_RS06770	B9J09_RS06770
B9J09_RS06775	B9J09_RS06775
B9J09_RS06780	B9J09_RS06780
B9J09_RS06785	B9J09_RS06785
B9J09_RS06790	B9J09_RS06790
B9J09_RS06795	B9J09_RS06795
B9J09_RS06800	B9J09_RS06800
B9J09_RS06805	B9J09_RS06805
B9J09_RS12410	B9J09_RS12410
B9J09_RS06815	B9J09_RS06815
B9J09_RS06820	B9J09_RS06820
B9J09_RS06825	B9J09_RS06825
B9J09_RS13020	B9J09_RS13020
B9J09_RS13025	B9J09_RS13025
B9J09_RS06835	B9J09_RS06835
B9J09_RS06840	B9J09_RS06840
B9J09_RS06845	B9J09_RS06845
B9J09_RS06850	B9J09_RS06850
B9J09_RS06855	B9J09_RS06855
B9J09_RS06860	B9J09_RS06860
B9J09_RS06865	B9J09_RS06865
B9J09_RS06870	B9J09_RS06870
B9J09_RS06875	B9J09_RS06875
B9J09_RS06880	B9J09_RS06880
B9J09_RS06885	B9J09_RS06885
B9J09_RS06890	B9J09_RS06890
B9J09_RS06895	B9J09_RS06895
B9J09_RS06900	B9J09_RS06900
B9J09_RS06905	B9J09_RS06905
B9J09_RS06910	B9J09_RS06910
B9J09_RS06915	B9J09_RS06915
B9J09_RS06920	B9J09_RS06920
B9J09_RS06925	B9J09_RS06925
B9J09_RS06930	B9J09_RS06930
B9J09_RS06935	B9J09_RS06935
B9J09_RS12640	B9J09_RS12640
B9J09_RS06940	B9J09_RS06940
B9J09_RS06945	B9J09_RS06945
B9J09_RS06950	B9J09_RS06950
B9J09_RS06955	B9J09_RS06955
B9J09_RS06960	B9J09_RS06960
B9J09_RS06965	B9J09_RS06965
B9J09_RS06970	B9J09_RS06970
B9J09_RS06975	B9J09_RS06975
B9J09_RS06980	B9J09_RS06980
B9J09_RS06985	B9J09_RS06985
B9J09_RS06990	B9J09_RS06990
B9J09_RS06995	B9J09_RS06995
B9J09_RS07000	B9J09_RS07000
B9J09_RS07005	B9J09_RS07005
B9J09_RS07010	B9J09_RS07010
B9J09_RS07015	B9J09_RS07015
B9J09_RS07020	B9J09_RS07020
B9J09_RS07025	B9J09_RS07025
B9J09_RS07030	B9J09_RS07030
B9J09_RS07035	B9J09_RS07035
B9J09_RS07040	B9J09_RS07040
B9J09_RS07045	B9J09_RS07045
B9J09_RS07050	B9J09_RS07050
B9J09_RS07055	B9J09_RS07055
B9J09_RS07060	B9J09_RS07060
B9J09_RS07065	B9J09_RS07065
B9J09_RS07080	B9J09_RS07080
B9J09_RS07085	B9J09_RS07085
B9J09_RS07090	B9J09_RS07090
B9J09_RS07095	B9J09_RS07095
B9J09_RS07100	B9J09_RS07100
B9J09_RS07105	B9J09_RS07105
B9J09_RS07110	B9J09_RS07110
B9J09_RS07115	B9J09_RS07115
B9J09_RS07120	B9J09_RS07120
B9J09_RS07125	B9J09_RS07125
B9J09_RS07130	B9J09_RS07130
B9J09_RS07135	B9J09_RS07135
B9J09_RS12645	B9J09_RS12645
B9J09_RS07145	B9J09_RS07145
B9J09_RS07150	B9J09_RS07150
B9J09_RS07155	B9J09_RS07155
B9J09_RS07160	B9J09_RS07160
B9J09_RS07165	B9J09_RS07165
B9J09_RS07170	B9J09_RS07170
B9J09_RS07175	B9J09_RS07175
B9J09_RS07180	B9J09_RS07180
B9J09_RS07185	B9J09_RS07185
B9J09_RS07190	B9J09_RS07190
B9J09_RS07195	B9J09_RS07195
B9J09_RS07200	B9J09_RS07200
B9J09_RS07210	B9J09_RS07210
B9J09_RS07215	B9J09_RS07215
B9J09_RS07220	B9J09_RS07220
B9J09_RS07225	B9J09_RS07225
B9J09_RS07230	B9J09_RS07230
B9J09_RS07235	B9J09_RS07235
B9J09_RS07240	B9J09_RS07240
B9J09_RS07245	B9J09_RS07245
B9J09_RS07250	B9J09_RS07250
B9J09_RS07255	B9J09_RS07255
B9J09_RS07260	B9J09_RS07260
B9J09_RS07265	B9J09_RS07265
B9J09_RS07270	B9J09_RS07270
B9J09_RS07275	B9J09_RS07275
B9J09_RS07285	B9J09_RS07285
B9J09_RS07290	B9J09_RS07290
B9J09_RS07295	B9J09_RS07295
B9J09_RS07300	B9J09_RS07300
B9J09_RS07305	B9J09_RS07305
B9J09_RS07310	B9J09_RS07310
B9J09_RS07315	B9J09_RS07315
B9J09_RS07320	B9J09_RS07320
B9J09_RS07325	B9J09_RS07325
B9J09_RS07330	B9J09_RS07330
B9J09_RS07335	B9J09_RS07335
B9J09_RS07340	B9J09_RS07340
B9J09_RS07345	B9J09_RS07345
B9J09_RS07350	B9J09_RS07350
B9J09_RS07355	B9J09_RS07355
B9J09_RS07360	B9J09_RS07360
B9J09_RS07365	B9J09_RS07365
B9J09_RS07370	B9J09_RS07370
B9J09_RS07375	B9J09_RS07375
B9J09_RS07380	B9J09_RS07380
B9J09_RS07385	B9J09_RS07385
B9J09_RS07390	B9J09_RS07390
B9J09_RS07395	B9J09_RS07395
B9J09_RS07400	B9J09_RS07400
B9J09_RS07405	B9J09_RS07405
B9J09_RS07410	B9J09_RS07410
B9J09_RS07415	B9J09_RS07415
B9J09_RS07420	B9J09_RS07420
B9J09_RS07425	B9J09_RS07425
B9J09_RS07430	B9J09_RS07430
B9J09_RS07435	B9J09_RS07435
B9J09_RS07440	B9J09_RS07440
B9J09_RS07445	B9J09_RS07445
B9J09_RS07450	B9J09_RS07450
B9J09_RS07455	B9J09_RS07455
B9J09_RS07460	B9J09_RS07460
B9J09_RS07465	B9J09_RS07465
B9J09_RS07470	B9J09_RS07470
B9J09_RS07475	B9J09_RS07475
B9J09_RS07480	B9J09_RS07480
B9J09_RS07485	B9J09_RS07485
B9J09_RS07490	B9J09_RS07490
B9J09_RS07495	B9J09_RS07495
B9J09_RS07500	B9J09_RS07500
B9J09_RS07505	B9J09_RS07505
B9J09_RS07510	B9J09_RS07510
B9J09_RS07515	B9J09_RS07515
B9J09_RS07520	B9J09_RS07520
B9J09_RS07525	B9J09_RS07525
B9J09_RS07530	B9J09_RS07530
B9J09_RS07535	B9J09_RS07535
B9J09_RS07540	B9J09_RS07540
B9J09_RS07545	B9J09_RS07545
B9J09_RS07550	B9J09_RS07550
B9J09_RS07555	B9J09_RS07555
B9J09_RS07560	B9J09_RS07560
B9J09_RS07565	B9J09_RS07565
B9J09_RS07570	B9J09_RS07570
B9J09_RS07575	B9J09_RS07575
B9J09_RS07580	B9J09_RS07580
B9J09_RS07590	B9J09_RS07590
B9J09_RS07595	B9J09_RS07595
B9J09_RS07605	B9J09_RS07605
B9J09_RS07610	B9J09_RS07610
B9J09_RS07615	B9J09_RS07615
B9J09_RS07620	B9J09_RS07620
B9J09_RS07625	B9J09_RS07625
B9J09_RS07630	B9J09_RS07630
B9J09_RS07635	B9J09_RS07635
B9J09_RS07640	B9J09_RS07640
B9J09_RS07645	B9J09_RS07645
B9J09_RS07655	B9J09_RS07655
B9J09_RS13035	B9J09_RS13035
B9J09_RS07660	B9J09_RS07660
B9J09_RS07665	B9J09_RS07665
B9J09_RS07670	B9J09_RS07670
B9J09_RS07675	B9J09_RS07675
B9J09_RS07680	B9J09_RS07680
B9J09_RS07685	B9J09_RS07685
B9J09_RS07690	B9J09_RS07690
