genes	uniprot
B9J09_RS00940	B9J09_RS00940
B9J09_RS00945	B9J09_RS00945
B9J09_RS00960	B9J09_RS00960
B9J09_RS00965	B9J09_RS00965
B9J09_RS00970	B9J09_RS00970
B9J09_RS00975	B9J09_RS00975
B9J09_RS00980	B9J09_RS00980
B9J09_RS00985	B9J09_RS00985
B9J09_RS00990	B9J09_RS00990
B9J09_RS01000	B9J09_RS01000
B9J09_RS01005	B9J09_RS01005
B9J09_RS01010	B9J09_RS01010
B9J09_RS01015	B9J09_RS01015
B9J09_RS01020	B9J09_RS01020
B9J09_RS01025	B9J09_RS01025
B9J09_RS01040	B9J09_RS01040
B9J09_RS01045	B9J09_RS01045
B9J09_RS01050	B9J09_RS01050
B9J09_RS01055	B9J09_RS01055
B9J09_RS01060	B9J09_RS01060
B9J09_RS01065	B9J09_RS01065
B9J09_RS01070	B9J09_RS01070
B9J09_RS01075	B9J09_RS01075
B9J09_RS01080	B9J09_RS01080
B9J09_RS01090	B9J09_RS01090
B9J09_RS01095	B9J09_RS01095
B9J09_RS01100	B9J09_RS01100
B9J09_RS12250	B9J09_RS12250
B9J09_RS13265	B9J09_RS13265
B9J09_RS01120	B9J09_RS01120
B9J09_RS01125	B9J09_RS01125
B9J09_RS01135	B9J09_RS01135
B9J09_RS01140	B9J09_RS01140
B9J09_RS01145	B9J09_RS01145
B9J09_RS01150	B9J09_RS01150
B9J09_RS01155	B9J09_RS01155
B9J09_RS01160	B9J09_RS01160
B9J09_RS01165	B9J09_RS01165
B9J09_RS01170	B9J09_RS01170
B9J09_RS01180	B9J09_RS01180
B9J09_RS01185	B9J09_RS01185
B9J09_RS01190	B9J09_RS01190
B9J09_RS12255	B9J09_RS12255
B9J09_RS12260	B9J09_RS12260
B9J09_RS01205	B9J09_RS01205
B9J09_RS01210	B9J09_RS01210
B9J09_RS01215	B9J09_RS01215
B9J09_RS01220	B9J09_RS01220
B9J09_RS01225	B9J09_RS01225
B9J09_RS01230	B9J09_RS01230
B9J09_RS01235	B9J09_RS01235
B9J09_RS12530	B9J09_RS12530
B9J09_RS01240	B9J09_RS01240
B9J09_RS01245	B9J09_RS01245
B9J09_RS01250	B9J09_RS01250
B9J09_RS01255	B9J09_RS01255
B9J09_RS01260	B9J09_RS01260
B9J09_RS01265	B9J09_RS01265
B9J09_RS01270	B9J09_RS01270
B9J09_RS01275	B9J09_RS01275
B9J09_RS01290	B9J09_RS01290
B9J09_RS01295	B9J09_RS01295
B9J09_RS01300	B9J09_RS01300
B9J09_RS01305	B9J09_RS01305
B9J09_RS12770	B9J09_RS12770
